<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.23	02:15:00	1.24914	1.24931	1.24911	1.24924	55	0	12
2023.11.23	02:20:00	1.24925	1.24931	1.24919	1.24929	49	0	7
2023.11.23	02:25:00	1.24929	1.24938	1.24926	1.24929	47	0	12
2023.11.23	02:30:00	1.24928	1.24929	1.24910	1.24915	37	0	10
2023.11.23	02:35:00	1.24915	1.24928	1.24908	1.24925	46	0	12
2023.11.23	02:40:00	1.24926	1.24928	1.24916	1.24916	52	0	10
2023.11.23	02:45:00	1.24915	1.24926	1.24907	1.24926	48	0	9
2023.11.23	02:50:00	1.24926	1.24946	1.24921	1.24946	61	0	5
2023.11.23	02:55:00	1.24945	1.24957	1.24937	1.24954	56	0	8
2023.11.23	03:00:00	1.24950	1.24957	1.24907	1.24911	108	0	12
2023.11.23	03:05:00	1.24907	1.24917	1.24893	1.24896	71	0	9
2023.11.23	03:10:00	1.24897	1.24907	1.24894	1.24906	86	0	11
2023.11.23	03:15:00	1.24906	1.24917	1.24887	1.24888	104	0	11
2023.11.23	03:20:00	1.24887	1.24907	1.24887	1.24907	71	0	12
2023.11.23	03:25:00	1.24912	1.24934	1.24908	1.24934	64	0	10
2023.11.23	03:30:00	1.24934	1.24962	1.24922	1.24956	81	0	11
2023.11.23	03:35:00	1.24956	1.24957	1.24933	1.24942	69	0	12
2023.11.23	03:40:00	1.24941	1.24946	1.24917	1.24925	48	0	11
2023.11.23	03:45:00	1.24925	1.24941	1.24924	1.24936	40	0	12
2023.11.23	03:50:00	1.24937	1.24957	1.24933	1.24946	73	0	12
2023.11.23	03:55:00	1.24947	1.24965	1.24946	1.24952	69	0	10
2023.11.23	04:00:00	1.24953	1.24979	1.24947	1.24969	69	0	12
2023.11.23	04:05:00	1.24968	1.24990	1.24955	1.24987	84	0	12
2023.11.23	04:10:00	1.24986	1.24996	1.24981	1.24989	67	0	12
2023.11.23	04:15:00	1.24988	1.24998	1.24979	1.24979	62	0	10
2023.11.23	04:20:00	1.24979	1.25005	1.24979	1.24999	64	0	10
